stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
14,62.28571429,58.51282051,50.66666667,63.5,31.19047619,74.61538462,35.42857143,81.425,77.45945946,58.81081081,74.23809524,42.02777778,81.13888889,22.77777778,31.46666667,36.74285714,12.525,58.88888889,72.33333333,49.93939394,73,50.8974359,1.65,13.41463415,22.78378378,10.63636364,14.82758621,2.722222222,88.86111111,33.31818182,42.16666667,69.73684211,70.95121951,9.375
15,39.30769231,37.89473684,60.33333333,49.02857143,21.475,73.60465116,33,44.675,28.71052632,41.30769231,31.92682927,55.31578947,62.75,25.27027027,60.21428571,38.77777778,55.025,90.72222222,48.15384615,37.89473684,34.08333333,50.91666667,93.37837838,32,30.13157895,72.42857143,58.04545455,20.97560976,6.727272727,12.54761905,34.87804878,26.02857143,39.89473684,20.05128205
16,46.18947368,33.86842105,79.25,59.18421053,66.16666667,82.97435897,52.56097561,50.05128205,20.05,39.87804878,25.32608696,58.08108108,72.86111111,22.43243243,59.09090909,18.13157895,35.61111111,20.62857143,46.80555556,16.43243243,40.94117647,37.54285714,87.21052632,34.02941176,52.69444444,74.23255814,74.65517241,12.54285714,16.21212121,14.63414634,14.60465116,52,45.45714286,67.25
17,45.2,42.88571429,55.55555556,47.97368421,23.23076923,73.35897436,34.825,53.225,34.65714286,42.42857143,36.44186047,49.75,63.66666667,19.07894737,50.44186047,41.64864865,12.94117647,65,57.57894737,34.78947368,54.51351351,52.64102564,2.264705882,41.51351351,32.97368421,17.95454545,31.39344262,6.848484848,80.83783784,21.36585366,42.11111111,37.39393939,48.325,84.19512195
18,55.82978723,61.54285714,47.08333333,54.58333333,26.1,12.17948718,34.43243243,45.38888889,60.61290323,41.35,55.92682927,61.6,78.30769231,76.97142857,36.65853659,24.77777778,61.89473684,90.34285714,55.91176471,54.82926829,39.44736842,70.13513514,49.63636364,77.48648649,58.15,71.925,46.98360656,74.625,3.951219512,14.91836735,27.43243243,43.87878788,65.78947368,18.30555556
19,73.86363636,74.3,50.8,62.125,24.89130435,11.5,36,72.61904762,67.68421053,62.12820513,65.30769231,55.21875,83.31428571,57.18181818,29.52272727,17.05,17.34210526,66,66.14285714,71.44736842,73.78947368,55.43243243,0.837837838,19.675,12.09090909,11.58139535,11.984375,4.871794872,94.45945946,18.48837209,27.4,59.20588235,70.88095238,15.12820513
20,56.51612903,41.13513514,50.52631579,52.67567568,25.75,60.78378378,52.26315789,47.625,67.81081081,40.40909091,68.23809524,54.19354839,72.88888889,21.87878788,36.0625,49.1025641,71.38888889,88.27777778,65.27777778,43.10810811,36.41025641,71.5952381,14.05555556,65.52777778,45.84210526,44.90697674,24.390625,90.525,2.264705882,7.288888889,75.37142857,43.91666667,67.05263158,9.65
21,55.74712644,57.86111111,50.2972973,52.30952381,27.64102564,13.925,50.38095238,61.16666667,48.95,41.56410256,42.89473684,40.8974359,75.02702703,76.80555556,45.52,23.225,16.94285714,61.04878049,44.84848485,58,53.11428571,54.3,44.73684211,29.44736842,52.40540541,51.3902439,48.78688525,12.10526316,51.52777778,19.19047619,25.475,49,61.82926829,34.76315789
22,56.09195402,42.94285714,49.97222222,45.33333333,38.21428571,56.2,43.8974359,52.83333333,66.40540541,44.5,58.66666667,47.86111111,63.72972973,53.13513514,39.23913043,39.30952381,12.61111111,23.9,61.12820513,35.89473684,64.89473684,70.78947368,1.923076923,10.78571429,9.264705882,12.87804878,16.70967742,4.027027027,93,24.31914894,54.82051282,34.52631579,43.05,87.21052632
23,48.97727273,45.2195122,68.29268293,56.025,42.47727273,80,36.9047619,71.47619048,55.62857143,45.425,54.84444444,33.775,70.36585366,22.21621622,50.80434783,36.66666667,21.13513514,71.91666667,57.4,26.28571429,67.29411765,42.275,16.30769231,41.69230769,59,35.43902439,37.96774194,5.025,62.51515152,25.43181818,34,72.76470588,64.10810811,18.43589744
24,48.24175824,29.15789474,69.47222222,55.87179487,67.22727273,82,57.18604651,68.78947368,42.94736842,53.0952381,40.5,35.76470588,77.82857143,22.88235294,45.23529412,29.7027027,20.18421053,7.282051282,50,15.89473684,84.10526316,19.39473684,1.27027027,18,22.4,12.36585366,11.43076923,7.111111111,91.25714286,21,15.5,78.20512821,63.68421053,22.7804878
25,63.30107527,56.43243243,58.80487805,63.25714286,44.79545455,10.70454545,37.61764706,70.81578947,69.75675676,58.16666667,68.14634146,42.22580645,78.1,72.05882353,33.18181818,16.35897436,23,41.34210526,64.37837838,49.1025641,71.23684211,49.62162162,2.097560976,22.71794872,26.71428571,14.15384615,16.24615385,4.794117647,88.28205128,14.95,23.15789474,71.94285714,73.9,76.87179487
26,52.24418605,66.45238095,53.88888889,46.20512821,26.9,7.263157895,33.88372093,52.36363636,56.08108108,45.66666667,54.82926829,61.77142857,84.94736842,65.19444444,51.34042553,21.675,30.43589744,23.97435897,62.54285714,69,71.28205128,63.02777778,17.75,48.71052632,57.37837838,44.26829268,31.484375,24.57894737,52.36111111,14.3902439,28.15384615,43.15384615,62.53488372,24.13157895
27,68.59139785,55.57142857,47.83333333,58.94594595,35.81578947,12.13513514,51.37837838,61.06976744,77.25714286,44.475,72.22916667,47.94736842,78.35897436,76.25,27.06818182,26.83333333,31.44444444,52.35897436,71.44444444,53.17948718,55.6,57.275,41.51351351,38.62790698,66.91428571,55.36842105,57.27419355,13.21052632,46.3,16.46666667,27.97222222,63.08333333,65.08571429,57.65789474
28,40.54545455,48.75,67.25,59.36111111,29.43902439,79.4,40.1,55.52272727,40.18604651,46.55263158,46.57777778,44.65714286,66.41025641,21.84210526,61.86666667,37.42105263,26.44444444,93.26190476,50.475,36.32432432,54,47.05714286,30.8974359,68.92682927,65.73529412,40.14634146,42.19672131,15.37837838,42.13888889,18.14285714,49.35897436,57.30555556,52.58333333,19.3
29,48.83950617,39.41463415,62.45714286,48.375,32.86666667,87.35897436,62.28947368,53.125,55.03030303,48.05263158,48.48780488,46.63157895,46.12121212,22.20512821,60.875,31.77777778,40.45945946,89.97142857,46.66666667,31.08333333,49.19444444,58.26829268,17.02631579,84.3902439,64,36.05405405,34.17741935,19.61111111,36.28947368,19.17948718,28.54054054,49.24242424,55.65789474,14.05128205
30,63.27058824,43.97674419,48.63888889,50.68421053,46.53658537,18.92307692,49.39473684,68.61538462,82.47368421,52,71.5952381,37.80487805,60.70731707,60.30555556,31.20833333,32.60526316,15.15789474,37.14285714,73.70731707,44.23684211,62.61764706,48.92307692,0.972222222,11,10.2972973,10.975,9.779661017,3.974358974,92.64864865,17.35555556,29.23076923,50.85,65.59459459,71.58823529
31,34.82954545,26.70731707,63.40540541,38.1025641,59.26666667,51.63888889,49.55555556,52.11111111,35.4,44.925,40.09756098,32.30769231,46.91891892,34.14285714,41.42222222,32.16216216,19.41666667,51.89189189,38.81081081,15,57.25,45,8.351351351,30.14634146,32.35294118,17.3,28.45901639,6.5,72.84210526,10.45238095,40.08571429,27.72222222,49.42857143,77.44736842
32,71.36904762,66.26315789,43.93939394,61.76315789,28.41860465,8.692307692,45.48648649,58.94871795,76.42105263,50.81081081,71.2195122,55.61111111,82.18918919,80.6744186,23.75,16.52941176,42.8974359,54.48717949,72.2972973,74.89473684,59.84210526,65.91176471,52.07692308,52.94594595,77.60526316,60.34146341,70.37704918,32.42105263,27.77777778,14.58974359,27.02702703,68.3125,71.5,40.88888889
33,82.13253012,54.84615385,20.18918919,36.59459459,2.022222222,26.37209302,46.575,69.14285714,54.81081081,44.83333333,57.29268293,44.39473684,73.27027027,38.14285714,15.425,18.10810811,3.975,34,55,81.78378378,67.45714286,55.16216216,2.675,10.60526316,8.170731707,9.024390244,8.714285714,3.71875,95.86111111,7.404761905,15.5,9.05,60.46341463,62.05
34,68.53061224,53.84615385,40.73529412,55.60606061,29.86956522,18.97435897,36.94285714,50.35897436,87.39473684,37.44186047,74.43589744,55.14285714,61.17142857,68.14285714,31.88095238,51.66666667,24.41666667,80.38461538,60.47222222,63.09090909,51.03125,69.92105263,47.63157895,47.73684211,59.55555556,55.21428571,57.12068966,20.27777778,48.66666667,17.66666667,40.75,44.13513514,66.62162162,91.06060606
35,31.67857143,43.54285714,70.75675676,40.05263158,40.81395349,87.23076923,35.9,56.77272727,26.125,48.78947368,43.58,54.29411765,56.58823529,24.29411765,64.82051282,33.14285714,21.35294118,73.08108108,71.24324324,29.85365854,63.79411765,41.39473684,1.916666667,35.76315789,44.30555556,18.21052632,17.078125,6.761904762,80.74285714,24.0952381,31.14285714,49,41.2972973,16.91666667
36,43.31325301,41.52777778,59.11428571,64.73809524,41.55813953,77.09756098,27.37142857,52.64285714,49.68421053,37.48717949,43.20930233,38.26470588,67.94444444,23.02941176,67.13513514,41.96969697,17,91.44736842,56.09302326,25.10526316,75.5,43.65789474,10.27777778,51.30769231,47.02857143,19.74358974,30.34920635,10.02564103,72.55555556,23.81818182,53.05555556,76.10526316,57.05,18.71428571
37,79.35632184,57.05,18.87878788,35.30555556,3.044444444,15.35294118,40.05714286,64.02272727,36.11428571,42.18604651,43.86666667,39.44117647,67.88888889,54.78947368,18.35,16.03225806,3.702702703,8.628571429,38.79487179,79.32352941,70.05882353,51.24324324,1.666666667,8.065217391,7.555555556,10.725,7,3.205882353,93.975,7.045454545,17.48571429,6.111111111,65.675,24.05882353
38,52.1978022,45.4,58.97142857,62.40540541,44.46511628,82.71794872,48.83333333,76.43902439,64.07692308,55.38461538,58.02564103,36.19444444,70.08108108,18.19512195,54.97368421,39.39393939,15.24242424,25.28947368,63.2972973,30.27777778,78.92105263,28.39473684,0.666666667,6.5,6.820512821,5.860465116,8.298245614,4.743589744,90.0625,27.08695652,29.02857143,80.26315789,77.31818182,31.56756757
39,62.79775281,54.02564103,48.84210526,51.94871795,36.61363636,12.25,61.33333333,65.90697674,69.54054054,53.35135135,66.20512821,44.85365854,72.35714286,69.66666667,31.68421053,21.22857143,13.94117647,62.18421053,63.13888889,52.62162162,62.85714286,47.89473684,4.815789474,23.325,22.92307692,13.975,19,4.055555556,88.26470588,17.90697674,28.91176471,61.82051282,69.60526316,39.68292683
40,56.09677419,43.47727273,61.78947368,63.1875,46.625,80.63157895,60.28571429,75.73170732,65.6,54.85,60.54761905,32.33333333,77.68571429,14.69444444,37.45,37,10.2,53.12820513,62.78947368,35.10526316,80.31428571,23.53658537,1.317073171,20.16666667,16.27777778,11,15.59016393,12.47368421,89.85294118,28.47826087,24.02857143,84.94736842,72.34146341,9.285714286
41,39.71264368,40.57142857,58.61538462,32.47222222,37.97435897,83.70731707,39.97222222,58,51.83333333,48.61904762,64,49.87804878,45.18421053,23.58333333,52.68292683,53.17142857,20.88888889,81.9375,51,24.51351351,65.97368421,51.17647059,2.648648649,33.30232558,32.05128205,15.95348837,21.33870968,9.763157895,82.03125,22.15909091,52.60606061,27.625,49.13157895,9
42,66.41111111,56.91176471,45.57894737,58.75675676,33.2826087,11.53658537,57.11428571,59.07317073,58.67567568,50.06818182,48.53846154,41.88888889,77.18421053,50.61111111,45.4,17.69444444,62.56410256,91.88888889,56.86842105,57.02631579,44.51351351,69.72222222,57.60526316,65.25641026,65.2,71.34090909,59.54237288,73.91176471,3.923076923,15.78571429,28.32432432,57.62162162,71.97368421,74.47368421
43,63.85106383,65.12820513,50.75,56.21052632,37.95,11.02439024,65.10526316,73.61904762,73.70588235,59.05405405,70.54054054,46.84210526,81.94871795,72.85714286,37.57142857,17.69230769,14.05555556,73.66666667,72.35,56.97368421,69.48484848,48.17948718,9.588235294,28.775,36.91176471,18.30952381,23.68852459,6.727272727,82.76923077,16.73809524,24.24390244,66.86486486,72.85,13.92682927
44,47.74444444,37.22222222,53.1025641,57.52380952,23.79545455,70.6,55.8,42.59090909,49.05714286,29.61764706,50.85714286,43.625,66.97142857,27.95238095,77.08108108,46.46153846,47.79411765,92.32352941,51.13157895,30.16216216,48.79411765,55.05714286,95.02941176,29.19512195,40.36842105,78.32608696,67.578125,17.47222222,10.16666667,14,43.02631579,39.14705882,56.97297297,81.25714286
45,51.88372093,39.02702703,57.41025641,47.05263158,31.85365854,86.05128205,36.82352941,58.75555556,52.25714286,53.18918919,56.53333333,54.5,58.79487179,13.875,41.55263158,22.25,85.4,91.55,58.89473684,36.075,33.47368421,71.51428571,4.459459459,60.75,28.24242424,24.73684211,10.8030303,97.16216216,3,13.075,39.14285714,34.28947368,64.15384615,19.57575758
46,57.24468085,62.71052632,51.425,66.43243243,23.86363636,79.33333333,31.42857143,69.07692308,70.25,50.97368421,69.3255814,59,76.48648649,27.3,46.05405405,31.86111111,27.22222222,89.97058824,66.42424242,52.35897436,75.05714286,38.56756757,30.90243902,52.58536585,61.375,41.57142857,37.38333333,11.21212121,64.72727273,26.19565217,50.32352941,69.375,62.43243243,11.2
47,77.98888889,63.10526316,24.28205128,46.66666667,8.333333333,14.31707317,45.5,57.47727273,60.41666667,38.5952381,59.6,53.24324324,72.28205128,54.06060606,16.11111111,14.35135135,15.97058824,34.78378378,66.44444444,74.89473684,69.73809524,53,5.307692308,28.77142857,35.78378378,18.4,18.140625,11.37142857,82.75,13.64444444,15,9.894736842,63.61111111,42.125
48,49.47252747,31.02439024,61.7027027,54.28947368,51.87234043,85.125,46.41666667,57.44444444,56.69444444,46,64.95,42.43243243,50.27027027,16.90909091,48.21428571,58.35294118,19.38888889,62.83333333,69.81081081,24.17142857,64.72222222,57.1875,4.615384615,49.02777778,39.59459459,16.075,21.79661017,11.11428571,80.825,25.73170732,36.35135135,61.10810811,60.19444444,15.26190476
49,48.27710843,54.68181818,60.44736842,55.67647059,27.86363636,85.73684211,42.45714286,60.31707317,56.2972973,53.43243243,61.45454545,49.075,55.82051282,18.38709677,71.69444444,23.875,36.52631579,90.75,54.71052632,42.68292683,52.15151515,53.46153846,21.05405405,80.41463415,66.24324324,41.82857143,30.78571429,22,38.88571429,19.44736842,40.22857143,54.36363636,58.42105263,17.74285714
50,60.68181818,54,50.56410256,69.25806452,28,73.525,36.05128205,59.8372093,62.80555556,43.85,64.18604651,42.35897436,72.25714286,20.62857143,53.24324324,42.31578947,32.05128205,89.79487179,56.64864865,47.56410256,57.92307692,51.47222222,91.8372093,33.61764706,42.71428571,66.70588235,58.60344828,14.225,16.42857143,15.82926829,47.5,57.14285714,57.88888889,17.82051282
51,71.84269663,66.20512821,43.18181818,63.58333333,25.8,9.421052632,38.93023256,53.63414634,65.04761905,53.41025641,58.55263158,44.11428571,71.64102564,61.51428571,33.76470588,17.8,43.44444444,86.43243243,63.21621622,68.30769231,51.82857143,62.675,75.56410256,63.13513514,75.02857143,73.78787879,61.43548387,38.59375,17.97058824,16,24.78947368,60.08333333,70,41.08108108
52,40.01204819,49.25641026,68.88235294,62.05555556,37.75,82.28571429,28.37142857,54.08695652,22.58974359,46.35135135,33.38461538,40.64864865,69.575,20.08108108,54.05555556,27.16666667,48.14285714,88.08571429,43.7027027,31.79411765,48.75,50.76315789,46.25641026,76.91666667,76.71794872,59.72222222,60.62068966,33.88888889,22.05555556,19.5,32.05263158,60.35135135,51.83333333,10.13513514
53,61.35164835,61.05,43.775,45.91891892,13.52272727,11.90697674,48.3,51.9,30.55263158,37.22222222,39.02325581,49.11111111,69.65789474,77.24324324,58.3255814,10.94285714,32,67.05263158,41.63157895,69.28947368,50.80645161,55.19444444,54.77777778,52.875,75.4,61.94285714,57.9047619,20.91428571,29.89189189,16.05,20.9,17.55555556,63.13157895,18.76315789
54,41.72093023,51.94736842,55.35135135,46.13157895,25.93023256,77.58974359,33.94736842,65.46511628,38.48571429,50.16216216,45.42857143,44.32352941,59.47368421,25.55555556,80,49,10.39473684,40.7027027,32.76470588,45.36842105,69.66666667,47.27027027,0.805555556,11.88888889,9.885714286,11.92105263,8.897058824,4.157894737,92.18918919,22.35,52.72222222,47.02777778,46.05555556,92.51282051
55,70.62222222,51.13157895,27.02631579,41.8,11.75,70.69444444,45.48571429,67.925,71.10526316,47.24324324,66.69230769,39,65.6,19.83333333,33.64102564,33.35294118,11.21052632,70.05128205,62.54054054,59.13888889,64.34210526,45.58823529,2.424242424,26.34285714,27.73684211,21.775,14.26666667,5.057142857,85.20512821,18.54347826,28.17948718,9.972222222,64.83333333,90.05263158
56,54.58695652,55.925,51.94285714,43.36111111,31.3902439,12.5,55.72222222,41.02564103,74.7027027,37.9,76.56410256,65.34210526,75.05714286,65.84210526,42.24324324,36.78787879,62.45714286,90.32432432,67.31428571,61.10526316,57.10810811,66.94594595,45.57142857,77.69444444,69.85,63.72972973,49.01785714,54,7.171428571,15.02439024,36.11111111,49.6,61.26315789,12.97142857
57,82.1547619,63.04878049,22.2972973,56.97222222,9.95,10.60465116,46.65789474,56.11363636,66.90909091,36.51428571,62.09756098,55.51428571,74.97142857,49.78787879,25.37142857,21.14285714,37.43333333,89.08108108,65.5,80.92682927,51.34210526,56.02857143,94.375,31.68421053,49.08571429,77.72222222,72.859375,14.58823529,10.18421053,14.88372093,15.4,13.52631579,61.75,85.31428571
58,62.94565217,59.71428571,50.38461538,53.78378378,34.61904762,17.05,57.24324324,61.06818182,56.2,50.05405405,58.58139535,53.5,79.12820513,44.83333333,40.60526316,23.71428571,13.58333333,23.79411765,63.68571429,60.26315789,65.05882353,53.64864865,6.717948718,29.35135135,34.02857143,15.25,18.36206897,5.947368421,81.47368421,16.72727273,45.28205128,63.56097561,70.36111111,35
59,77.62921348,53.76923077,19.52272727,40.16666667,8.380952381,42.86956522,42.61538462,70.02325581,68.775,42.7,64.2972973,39.85294118,59.68571429,33.45,15.91428571,29.02702703,5.837837838,40.64864865,65.47619048,62.75,60.23076923,50.0625,1,8.184210526,10.94117647,7.945945946,7.8,3.925,91.25641026,14.02272727,20.55555556,10.63414634,66.41025641,16.64102564
60,78.50561798,50.8,20.60526316,32.66666667,4.4,16.31707317,59.52941176,57.47368421,33.93939394,36.12820513,44.09756098,39.75675676,61.11111111,63.69230769,23.4,20.44736842,4.888888889,21.8125,28.11111111,73.15,61.97222222,47.66666667,3.8,16.05263158,12.25,12.41176471,12.38095238,3.594594595,90.53125,8.255813953,19.02631579,4.769230769,65.75,86.05555556
61,71.53932584,57.38888889,28.47368421,43.26315789,9.2,72.54054054,33.07692308,69.84615385,41.40540541,44.21052632,43.74358974,39.94594595,70.75,25.94285714,40.61111111,14.69047619,24.02941176,66.91891892,52.30769231,65.15384615,61.09090909,46.03030303,8.189189189,43.71794872,48.05555556,30.63157895,36.16666667,11.5,71,11.67567568,22.77777778,9.236842105,61.6969697,17.23684211
62,67.5,45.05555556,29.85294118,45.28947368,10.53658537,70.15384615,30.25714286,54.55,55,32.52631579,54.73333333,48.74358974,61.65,12.17142857,27.30555556,35.525,15.05128205,45.5,54.75,56.02631579,62.19444444,48.38888889,1.184210526,32.44736842,27.77142857,12.71052632,11.5,9.514285714,81,18.64102564,31.64102564,10.75,67.10810811,77.93939394
63,45.97647059,56.4,63.38636364,58.35,35,83.65116279,29.28205128,68.97368421,58.66666667,43.19444444,55.66666667,47.91666667,52.67647059,18.35897436,66.94594595,33.05128205,26.73684211,81.35135135,54.12121212,47.175,65.02941176,57.05405405,2.578947368,61.78947368,53.42105263,30.84615385,23.45901639,8.714285714,69.48648649,23.5,54.35294118,59.125,56.11764706,11.45454545
64,69.05434783,67.89473684,55.075,63.13157895,38.11111111,8.675675676,54.72222222,66.4,72.44117647,59,69.95121951,52.14285714,82.79411765,77.43243243,41.1,16.48780488,34.83783784,60.2,71.73684211,61.66666667,65.77777778,55.20588235,40.34782609,46.17948718,71.14705882,59.45714286,58.31034483,25.72222222,50.33333333,20.87179487,26,74.92682927,68.74285714,7.235294118
65,49.0952381,42.41176471,64.21212121,53.71428571,60.26829268,82.42105263,60.7,68.14634146,33.84848485,50.17073171,36.54545455,40.54054054,67.60526316,25.8,53.68421053,26.86111111,11.32352941,3.487179487,42.93939394,19.75675676,74.30769231,26.58974359,2.65,16.96969697,21.35135135,10.36363636,16.27586207,4.487179487,90.81081081,19.97435897,18.1,66.65,60.38461538,43.39393939
66,45.5,35.27777778,43.62162162,39.83783784,32.73333333,52.07894737,45.57894737,40.35,67.02631579,28.12820513,57.125,32.2972973,55.91891892,36.44736842,64.31578947,59.87878788,18.44117647,62.69230769,46.8,25.23684211,53.2972973,63.02857143,15.56097561,36.05128205,54.21212121,36.97142857,42.12962963,11.36585366,67.38888889,14.55555556,59.75,33.7804878,48.13888889,47.08108108
67,43.43421053,63.09090909,72.83783784,62.72727273,30.51111111,82.025,25.63414634,51.9,31.86486486,41.31428571,40.9047619,53.28205128,66.38888889,21.41666667,67.51351351,16.96774194,28.20588235,81.39473684,47.54285714,48.33333333,63.8125,52.94594595,15.63157895,65.32432432,59.39473684,45.20588235,39.53225806,17.21428571,54.42857143,20.02702703,61.54054054,60.375,49.26190476,8.692307692
68,60.44578313,47.5483871,38.32352941,57.40540541,31.45238095,76.53846154,39.28205128,68.97222222,70.92307692,50.87179487,62.81578947,48,41.76190476,20.8,33.43589744,43.27027027,13.5,32.11428571,68.72222222,43.73684211,63.88888889,51.96969697,0.789473684,10.80555556,11.33333333,8.939393939,8.482142857,6.424242424,94.37837838,27.5,47.64102564,58.60526316,62.23529412,17.92307692
69,67.54444444,57.64864865,45.34375,55.64864865,29.3,16.81578947,50.75675676,69.87804878,73.94871795,53.80555556,66.52380952,34.37837838,63.64102564,78.30769231,33.71052632,32.35135135,17.38235294,83.76470588,65.46341463,55.34285714,58.48571429,67.77777778,19.91891892,39.56756757,46.05263158,41.63414634,40.171875,4.243243243,71.96969697,20.57894737,36.58823529,47.375,62.4,75.44736842
70,56.11111111,48.075,60.28947368,57.91891892,52.20930233,82.97727273,49.35135135,77.26829268,56.83783784,57.36111111,57.94871795,39.24242424,65.28571429,16.0625,56.07692308,29.08108108,10.61538462,19.15789474,53.38888889,31.12820513,67.77777778,39.6,0.945945946,13.21052632,12.16666667,11.02631579,10.35483871,6.081081081,92.55882353,24.86363636,35.65714286,66.43589744,64.78947368,91.08823529
71,68.11764706,48.825,45.54054054,62.60606061,31.15909091,86.05,51.97222222,56.29268293,80.48571429,42.72972973,77.79487179,45.05263158,55.41025641,20,35.89189189,53.58333333,57.02702703,90.13513514,73.80555556,45.95555556,47.17142857,66.02777778,51.60526316,67.62857143,75.02702703,63.30232558,52.6557377,39.61111111,16.87179487,15.51282051,53.36111111,62.44736842,61.94871795,64.27777778
